series_id,date,value,description
VIXCLS,2020-05-06,34.12,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-07,31.44,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-08,27.98,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-11,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-12,33.04,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-13,35.28,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-14,32.61,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-15,31.89,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-18,29.3,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-19,30.53,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-20,27.99,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-21,29.53,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-22,28.16,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-26,28.01,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-27,27.62,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-28,28.59,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-29,27.51,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-01,28.23,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-02,26.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-03,25.66,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-04,25.81,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-05,24.52,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-08,25.81,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-09,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-10,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-11,40.79,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-12,36.09,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-15,34.4,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-16,33.67,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-17,33.47,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-18,32.94,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-19,35.12,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-22,31.77,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-23,31.37,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-24,33.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-25,32.22,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-26,34.73,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-29,31.78,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-30,30.43,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-01,28.62,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-02,27.68,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-06,27.94,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-07,29.43,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-08,28.08,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-09,29.26,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-10,27.29,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-13,32.19,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-14,29.52,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-15,27.76,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-16,28.0,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-17,25.68,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-20,24.46,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-21,24.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-22,24.32,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-23,26.08,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-24,25.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-27,24.74,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-28,25.44,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-29,24.1,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-30,24.76,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-07-31,24.46,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-03,24.28,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-04,23.76,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-05,22.99,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-06,22.65,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-07,22.21,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-10,22.13,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-11,24.03,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-12,22.28,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-13,22.13,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-14,22.05,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-17,21.35,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-18,21.51,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-19,22.54,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-20,22.72,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-21,22.54,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-24,22.37,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-25,22.03,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-26,23.27,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-27,24.47,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-28,22.96,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-08-31,26.41,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-01,26.12,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-02,26.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-03,33.6,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-04,30.75,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-08,31.46,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-09,28.81,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-10,29.71,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-11,26.87,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-14,25.85,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-15,25.59,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-16,26.04,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-17,26.46,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-18,25.83,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-21,27.78,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-22,26.86,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-23,28.58,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-24,28.51,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-25,26.38,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-28,26.19,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-29,26.27,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-09-30,26.37,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-10-01,26.7,CBOE Volatility Index VIX (Daily)
