series_id,date,value,description
MORTGAGE30US,2021-05-20,3.0,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-05-27,2.95,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-06-03,2.99,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-06-10,2.96,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-06-17,2.93,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-06-24,3.02,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-07-01,2.98,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-07-08,2.9,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-07-15,2.88,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-07-22,2.78,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-07-29,2.8,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-08-05,2.77,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-08-12,2.87,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-08-19,2.86,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-08-26,2.87,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-09-02,2.87,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-09-09,2.88,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-09-16,2.86,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-09-23,2.88,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-09-30,3.01,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-10-07,2.99,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-10-14,3.05,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-10-21,3.09,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-10-28,3.14,30-Year Fixed Mortgage Rate (Weekly)
